사업장번호,사업장명
1602220001,영신금속 평택공장
1602160001,주식회사 티엠씨(북면지점)
1602200001,(주)호텔롯데롯데월드
1602220005,(주)칸정공 본공장
1602220006,"승일테크 유한회사 제1,2공장"
1602220011,오아이테크
1602220007,(주)에스에이치테크놀로지
1602170011,주식회사 티엠씨 입장공장
1602230047,(주)풍년그린텍
1602220014,에이케이켐텍(주)
1602220013,주식회사 코알코
1602220022,이마트 인천공항점
1602220019,(주)LB세미콘
1602220025,(주)유진기연사
1602220012,(주)신라이노텍
1602220017,중산마을8단지아파트
1602220035,한진8차아파트입주자대표회의
1602220026,청주푸르지오 캐슬아파트
1602160002,한일제관
1602220032,경남아너스빌
1602220042,승일테크 유한회사 3공장
1602220048,금호산업 (주)
1602220036,(주)에쎈테크군산공장
1602220051,LG화학 오창1공장 (공통부문)
1602230001,111
1602230001,두산중공업 창원공장
1602230005,(주)세계일보
1602230014,(주)경영사
1602180003,우정선경2차아파트입주자대표회의
1602230019,LG화학 오창1공장 (전지공장)
1602190001,브이피에이치메탈 유한회사
1602220041,성지산업(주)
1602220027,NC백화점 강서점
1602220037,대경염직(주)
1602220034,NC백화점 야탑점
1602220043,2001아울렛 천호점
1602230033,성지산업(주)
1602230038,영어조합법인 월산
1602230040,대원전선(주)
1602220029,묵동자이아파트입주자대표회의
1602230043,(주)진흥스틸
1602230032,(주)프라코
1602230045,월산수산
1602230048,한국세큐리트
1602230027,옥현으뜸마을주공3단지 입주자대표회의
1602230046,웅진에너지 주식회사
1602230051,(주)영풍사업장
1602230052,(주)코다코 안성공장
1602220039,(주)성지
1602230054,에스케이씨 솔믹스 주식회사
1602230013,경남점자정보도서관
1602220031,대한전선(주) 당진공장
1602220033,대한전선(주) 전력기기공장
1602220010,지알엠
1602230026,삼일방(주) 경산공장
1602220016,태양산업
1602220023,동영염직(주)
1602220045,(주)인우테크
1602220049,주식회사 해송텍
1602230023,(주)조양염직
1602230069,현대모비스(주) 포승공장
1602220040,만덕동일아파트
1602230055,한국세큐리트(주)익산공장
1602230096,검단1차피오레아파트입주자대표회의
1602230095,(주)코다코 3공장
1602220050,(주)제일테크노스 광양1공장
1602240046,(주)한국메탈 아산공장
1602250068,울산사업장
1602230049,에스케이하이닉스 주식회사
