사업번호,사전계측용량(kW)
201602220001 ,3.90 
201602220002 ,1.12 
201602220005 ,1.375
201602220007 ,5.18
201602220008 ,4.096
201602220009 ,0.79 
201602220010 ,1.44
201602220015 ,1.44
201602220016 ,2.415
201602220018 ,0.496
201602220019-1,0.882
201602220019-2,0.774
201602220019-3,1.116
201602220019-4,1.044
201602220021-1,0.32 
201602220021-2,0.18 
201602220022 ,0.900 
201602220023 ,0.46
201602220024 ,1.44 
201602220025 ,1.920 
201602230003 ,1.532
201602230006 ,7.854
201602230018 ,1.491 
201602230020 ,1.28 
201602230024-1,0.72 
201602230024-2,0.72 
201602230026-1,0.48 
201602230026-2,0.46 
201602230028-1,2.591
201602230028-2,2.843
201602230028-3,3.004
201602230028-4,2.767
201602230028-5,2.617
201602230028-6,2.813
201602230029-1,0.72
201602230029-2,0.72
201602230049-1,0.42 
201602230049-2,0.30 
201602230049-3,0.30 
201602230049-4,0.48 
201602230054 ,5.32 
201602230056 ,1.8
201602240006 ,1.86 
201602240009 ,0.3
201602240012 ,2.52
201602240014-1,0.195
201602240014-2,0.96
201602240017 ,3.6
201602240021 ,1.533 
201602240028 ,2.97
201602240029-1,0.846 
201602240029-2,0.288
201602240030 ,2.480 
201602240032 ,
201602240033 ,1.62
201602240037 ,1.87 
201602240038 ,0.96 
201602240056 ,3.08
201602240058 ,44.4
201602240069 ,1.620 
201602240084-1,2.4
201602240084-2,3.953
201602240084-3,0.684
201602240084-4,1.681
201602240085 ,0.42
201602240086 ,20.574
201602240087-1,2.96 
201602240087-2,2.08 
201602240088 ,0.48
201602240089-1,0.54 
201602240089-2,0.54 
201602240091 ,0.480 
201602240094 ,0.36
201602240095 ,4.356
201602240098 ,7.680 
201602240100 ,3.264
201602240101 ,1.829
201602250004-1,2.40 
201602250004-2,3.00 
201602250004-3,1.20 
201602250006 ,1.705
201602250007 ,5.64 
201602250008 ,1.373
201602250009-1,1.265 
201602250009-2,0.868 
201602250013 ,1.350 
201602250017-1,0.9
201602250017-2,0.99
201602250024 ,1.04
201602250026 ,0.90 
201602250028 ,3.72
201602250029 ,5.61
201602250030-1,1
201602250030-2,1.4
201602250032 ,0.764 
201602250033-1,2.45 
201602250033-2,1.77 
201602250035-1,0.72
201602250035-2,2.46
201602250036 ,2.025
201602250039 ,1.4
201602250040 ,1.95
201602250042 ,25.9904
201602250047 ,1.4
201602250050 ,1.230 
201602250052 ,1.14 
201602250056-1,4.000 
201602250056-2,4.000 
201602250056-3,4.700 
201602250056-4,5.400 
201602250058 ,1.152 
201602250060 ,0.750 
201602250062 ,2.009 
201602250063 ,0.960 
201602250071-1,1.33
201602250071-2,2.31
201602250071-3,1.89
201602250071-4,1.75
201602250073 ,6.25 
201602260001 ,1.74
201602260002 ,0.8
201602260003 ,0.8
201602260005-1,4.59
201602260005-2,4.59
201602260005-3,4.59
201602260005-4,4.59
201602260012-1,1.6
201602260012-2,1.6
201602260013 ,0.48 
201602260015 ,0.80 
201602260016 ,0.96
201602260017 ,1.600 
201602260018 ,0.630 
201602260019 ,0.8
201602260020 ,0.9
201602260022 ,1
201602260023 ,0.27
201602260024-1,0.72
201602260024-2,0.54
201602260026 ,1.65
201602260027 ,0.9
201602260028 ,0.300 
201602260030 ,0.40 
201602260031 ,"1,200"
201602260032 ,1.040 
201602260033 ,1.83
201602260034 ,0.88
201602260036-1,0.4
201602260036-2,0.56
201602260039 ,0.64 
201602260040 ,1.40 
201602260041 ,1.10 
201602260042 ,1.00 
201602260043 ,0.56
201602260044-1,1.92
201602260044-2,1.28
201602260045-1,1.20 
201602260045-2,1.32 
201602260046-1,2
201602260046-2,2
201602260047-1,0.648
201602260047-2,0.612
201602260048 ,0.6
201602260050 ,1.29
201602260051 ,0.96
201602260052 ,0.945
201602260053-1,0.72
201602260053-2,0.855
201602260054-1,4.2
201602260054-2,1.02
201602260057 ,1.74
201602260058 ,0.84
201602260059 ,1.1
201602260060-1,0.54 
201602260060-2,0.54 
201602260061 ,0.6
201602260062 ,6.048 
201602260063-1,0.768
201602260063-2,0.768
201602260064-1,0.992
201602260064-2,0.978
201602260064-3,1.27
201602260064-4,1.284
201602260064-5,1.197
201602260064-6,1.46
201602260064-7,0.963
201602260064-8,0.438
201602260064-9,1.226
201602260065 ,2.24
201602260070 ,1.26
201602260075 ,1.12
201602260078-1,0.40 
201602260078-2,0.46 
201602260079 ,0.240 
201602260085-1,0.8595
201602260085-2,1
201602260085-3,0.3
201602260086 ,1.2
201602260089-1,1.71
201602260089-2,0.9
201602260090 ,1.120 
201602260096 ,2
201602260099 ,0.770 
201602260100-1,0.280 
201602260100-2,1.428 
201602260102-1,0.917 
201602260102-2,0.707 
201602260102-3,0.959 
201602260105 ,1.414 
201602260108 ,1.54
201602260109 ,0.651 
201602260110 ,1.204 
201602260111-1,0.28 
201602260111-2,0.32 
201602260111-3,0.55 
201602260111-4,0.32 
201602260112 ,0.90 
201602260114 ,3.840 
201602260115-1,0.68 
201602260115-2,0.68 
201602260118 ,1.05
201602260120-1,
201602260120-2,
201602260120-3,
201602260121 ,0.57
201602260122 ,5.461 
201602260123 ,1.41 
201602260129 ,2.100 
201602260130 ,0.48 
201602260137 ,0.680 
201602260139-1,0.684
201602260139-2,0.936
201602260142-1,0.780 
201602260142-2,0.780 
201602260142-3,1.040 
201602260142-4,1.040 
201602260142-5,1.040 
201602260143-1,1.750 
201602260143-2,1.750 
201602260144 ,1.6
201602260146-01,1.120 
201602260146-02,1.120 
201602260149 ,3.300 
201602260151 ,2.400 
201602260152 ,2.72
201602260153 ,0.504
201602260156 ,2.56
201602260158 ,2.16
201602260161 ,2.664
201602260162 ,0.8232
201602260164 ,0.800 
201602260166 ,1.764
201602260168 ,2.1462
201602260169 ,1.2936
201602260170 ,1.2
201602260171 ,1.0878
201602260172 ,1.5582
201602260173 ,4.68
201602260174 ,0.44 
201602260175 ,1.05
