default1_led2_inverter3_,mdsid,saupjangid
1,01223208835-0301,1602220044
1,00-250102796,1602250039
1,00-250071089,1601140003
1,00-250060001,1601140004
1,00-250130385,1601140005
2,00-250071424,1601140006
1,00-250059766,1602010003
1,00-250059871,1602040002
1,00-250059708,1602040003
1,00-250071598,1602040004
1,00-250052077,1602040007
1,00-250102776,1602040008
1,00-250071373,1602040010
2,00-250071403,1602150001
2,00-250071434,1602150003
1,01224230502-0101,1602160002
3,00-360000247,1602160002
1,00-250071308,1602170004
1,00-250071330,1602170004
1,00-251004742,1602170009
1,00-250071525,1602170011
1,00-460003531,1602180002
2,00-250071405,1602180008
1,00-250068220,1602190007
1,00-250068226,1602190007
1,00-250059921,1602190008
1,00-250059949,1602190008
1,00-250068179,1602190009
1,00-250071520,1602220006
1,00-450083471,1602220010
1,00-250068178,1602220012
2,00-250071427,1602220014
1,00-360000189,1602220018
1,00-360000226,1602220018
1,01223187332-0001,1602220019
1,00-360000201,1602220019
1,00-250071507,1602220020
1,00-450083432,1602220022
1,00-360000228,1602220023
2,00-250071428,1602220026
2,00-250070991,1602220026
2,00-250071407,1602220026
1,01224230450-0301,1602220027
1,01220533054-0301,1602220027
3,00-360000244,1602220027
3,00-360000238,1602220027
1,00-250130341,1602220029
1,00-450083468,1602220031
1,00-250071364,1602220032
1,00-250071217,1602220032
1,00-250102673,1602220033
1,01223208826-0301,1602220034
1,01223208847-0301,1602220034
1,00-360000152,1602220034
1,00-360000156,1602220034
1,00-250059834,1602220035
1,00-360000194,1602220037
2,00-250071449,1602220038
2,00-250071440,1602220038
2,00-250071453,1602220038
1,00-360000020,1602220041
1,00-250071548,1602220042
1,01220543054-0301,1602220043
3,00-360000233,1602220043
1,01220172969-0301,1602220043
3,00-360000236,1602220043
1,01223208825-0301,1602220044
1,00-360000202,1602220044
1,00-360000205,1602220044
1,00-360000032,1602220045
1,00-250059976,1602220048
2,00-250071459,1602220051
1,00-250059703,1602230002
1,01223208829-0301,1602230004
1,01223208779-0301,1602230004
1,01223208832-0301,1602230004
1,00-360000157,1602230004
1,00-360000159,1602230004
1,00-360000172,1602230004
1,00-250130308,1602230005
3,00-450083522,1602230006
1,01223208800-0301,1602230007
1,01223208855-0301,1602230007
1,00-360000187,1602230007
1,00-360000199,1602230007
1,01223208786-0301,1602230008
1,01223208790-0301,1602230008
1,00-360000155,1602230008
1,00-360000160,1602230008
1,00-250130375,1602230010
1,01224273046-0301,1602230012
3,00-360000281,1602230012
1,01223239889-0301,1602230016
1,00-360000183,1602230016
1,01223239881-0301,1602230018
1,00-360000197,1602230018
1,00-360000217,1602230018
1,00-250071057,1602230021
1,00-360000229,1602230023
1,01223239886-0301,1602230024
1,01223239888-0301,1602230024
1,00-360000181,1602230024
1,00-360000193,1602230024
1,01223181047-0301,1602230025
1,01223239883-0301,1602230025
1,01223239890-0301,1602230025
1,00-360000166,1602230025
1,00-360000153,1602230025
1,00-360000092,1602230026
1,00-250071032,1602230027
1,00-250071026,1602230027
1,00-250059909,1602230032
1,00-360000025,1602230033
1,00-250059812,1602230034
1,00-250071659,1602230035
1,00-250059912,1602230036
1,00-360000165,1602230038
1,00-250130333,1602230040
3,00-450083417,1602230042
3,00-450083419,1602230042
3,00-450083461,1602230042
1,00-250071086,1602230043
1,00-250068185,1602230047
1,00-250071072,1602230048
1,00-250071167,1602230048
1,00-360000196,1602230049
1,00-360000191,1602230049
1,00-250130374,1602230050
1,00-450083458,1602230051
1,00-450083404,1602230051
1,00-450083445,1602230051
1,00-450083403,1602230051
1,00-450083448,1602230051
1,00-250071667,1602230052
1,00-250071700,1602230052
1,00-250071104,1602230055
1,00-250071109,1602230055
1,00-250130373,1602230058
1,00-250130372,1602230058
1,00-450083559,1602230059
1,00-450086595,1602230060
1,00-450086594,1602230062
1,00-451000364,1602230063
1,00-451000263,1602230065
1,00-451000347,1602230065
1,00-450086593,1602230066
1,00-450086534,1602230067
1,00-450083489,1602230070
1,00-450083492,1602230073
1,00-450083431,1602230074
1,00-450083472,1602230078
1,00-450083490,1602230079
1,00-451000476,1602230081
1,00-451000379,1602230083
1,00-451000369,1602230084
1,00-450083491,1602230085
1,00-451000293,1602230086
1,00-450083430,1602230089
1,00-451000485,1602230091
1,00-451000392,1602230093
1,00-360000086,1602230095
1,00-250130309,1602230097
1,00-250130343,1602230098
1,01224230548-0301,1602230100
3,00-450086602,1602230100
1,00-360000004,1602230101
1,00-360000127,1602230101
1,00-250059996,1602230103
1,00-250071088,1602230105
1,00-250071168,1602230105
1,00-250068173,1602230106
1,00-250059818,1602230107
1,00-250059751,1602230111
1,00-250060002,1602240001
1,00-360000093,1602240002
1,00-360000107,1602240002
1,00-250059849,1602240003
1,00-250059998,1602240004
1,00-250071509,1602240005
1,00-250130315,1602240005
1,00-250130318,1602240005
1,00-250071151,1602240006
3,00-450083462,1602240008
1,00-250068171,1602240011
1,00-250130378,1602240012
1,00-250130384,1602240013
3,00-450083464,1602240014
1,00-250068164,1602240016
1,00-250068193,1602240018
1,00-360000182,1602240019
1,00-360000231,1602240019
1,00-360000090,1602240022
1,00-450083564,1602240023
1,00-450083562,1602240023
1,00-450083563,1602240023
1,00-360000005,1602240025
1,00-250059706,1602240026
1,00-250059775,1602240028
3,00-360000264,1602240031
1,00-460000184,1602240035
1,00-250059925,1602240037
2,00-250071481,1602240039
1,00-250071550,1602240039
1,00-250059813,1602240040
1,00-360000224,1602240042
2,00-250070992,1602240044
1,00-250059803,1602240047
1,00-250068139,1602240054
1,00-250068198,1602240054
1,00-250071186,1602240055
1,00-250068144,1602240059
1,00-250059765,1602240061
1,00-250059836,1602240061
1,00-250071681,1602240072
1,00-250068192,1602240074
1,00-250060022,1602240075
1,00-250068202,1602240076
1,00-250068215,1602240076
1,00-250071624,1602240081
1,00-250059956,1602240084
1,00-450083463,1602240085
1,00-250059997,1602240086
1,00-250059999,1602240087
1,00-250071557,1602250002
1,00-250071540,1602250002
1,00-250130324,1602250002
2,00-250071493,1602250002
3,00-360000242,1602250003
1,00-250068218,1602250004
1,00-360000212,1602250005
1,00-250130336,1602250006
1,00-250130361,1602250007
1,00-250130363,1602250007
1,00-250130367,1602250007
1,00-250130362,1602250007
1,00-360000213,1602250009
1,00-250130312,1602250014
1,00-250130313,1602250014
1,00-250130370,1602250015
1,00-360000177,1602250017
1,00-250130365,1602250018
1,00-250059754,1602250019
1,00-250071694,1602250019
1,00-250059705,1602250022
1,00-251000081,1602250024
1,00-250130327,1602250025
2,00-250071467,1602250026
1,00-250130339,1602250027
1,00-250130380,1602250028
1,00-250130344,1602250029
2,00-250071438,1602250032
1,00-250102801,1602250039
1,00-250102797,1602250039
1,00-250102794,1602250039
3,00-450083469,1602250042
1,00-450083429,1602250043
1,00-251004421,1602250044
1,00-250102795,1602250047
1,00-250102798,1602250047
1,00-250102800,1602250047
1,00-250130342,1602250049
1,00-250102710,1602250052
1,00-250071647,1602250055
1,00-360000001,1602250058
1,00-250130335,1602250062
1,00-250059992,1602250063
1,00-250071612,1602250066
1,01224273096-0301,1602250067
1,01224273066-0301,1602250067
3,00-450083467,1602250067
3,00-450083466,1602250067
1,01224272979-0301,1602250067
1,01224272939-0301,1602250067
3,00-450086604,1602250067
3,00-450083465,1602250067
1,00-360000218,1602250068
1,00-450086512,1602250069
2,00-250071495,1602250070
1,00-250059861,1602250071
1,00-250130345,1602250076
1,00-250130340,1602250079
3,00-360000235,1602250085
3,00-360000282,1602250085
1,00-250102620,1602250092
1,00-250059874,1602250112
1,00-250102696,1602250123
1,00-250130314,1602250126
1,00-250130320,1602250127
1,00-250130317,1602250129
1,00-250071677,1602250130
1,00-250130310,1602250132
1,00-250130321,1602250135
1,00-250068224,1602250140
2,00-250071432,1602250153
1,00-250130379,1602250154
1,00-250059819,1602250156
1,00-250068165,1602250160
1,00-250071090,1602250164
1,00-250130329,1602250165
1,00-250071061,1602250166
1,00-250071068,1602250166
1,00-250071066,1602250167
1,00-250071581,1602250171
1,00-250068146,1602250173
1,00-250068148,1602250173
1,00-250059839,1602250176
1,00-250059965,1602250177
1,00-250130306,1602250184
1,00-250130326,1602250184
1,00-360000016,1602250186
1,00-451000482,1602250186
1,00-250007125,1602260015
1,00-250059858,1602260017
1,00-250130307,1602260018
2,00-250070994,1602260026
1,00-250059719,1602260027
1,00-250059915,1602260028
1,00-250068166,1602260029
1,00-250071085,1602260035
1,00-250071039,1602260035
1,00-250071096,1602260035
1,00-250071025,1602260039
1,00-250071087,1602260039
1,00-250130381,1602260041
1,00-250130377,1602260043
1,00-250130376,1602260043
2,00-250071451,1602260045
1,00-250059852,1602260049
1,00-250102648,1602260051
1,00-250059853,1602260052
1,00-250071028,1602260058
1,00-250071632,1602260059
1,00-250059774,1602260059
1,00-250130356,1602260064
1,00-250130358,1602260064
1,00-250130355,1602260064
1,00-250130359,1602260064
1,00-250130357,1602260064
1,00-250068210,1602260065
1,00-250068197,1602260065
2,00-250071465,1602260068
1,00-360000214,1602260070
1,00-250130369,1602260072
1,00-250071679,1602260077
1,00-250071185,1602260081
1,00-250071189,1602260081
1,00-360000185,1602260082
1,00-360000203,1602260082
1,00-360000209,1602260082
1,00-250071312,1602260084
1,00-250071310,1602260084
1,00-250071311,1602260084
1,00-250071336,1602260084
1,00-251004064,1602260085
1,00-251009025,1602260085
1,00-250071122,1602260086
1,00-250071126,1602260086
1,00-250071144,1602260086
1,00-360000216,1602260088
1,00-250130383,1602260091
1,00-250059856,1602260094
2,00-250071414,1602260095
2,00-250071464,1602260096
1,00-250071121,1602260097
1,00-250071004,1602260097
1,00-250071138,1602260098
1,00-250071140,1602260098
1,00-251009632,1602260101
1,00-250071625,1602260104
1,00-250102644,1602260112
1,00-250102649,1602260112
1,00-250071172,1602260115
1,00-250071188,1602260115
1,00-360000075,1602260118
1,00-250059724,1602260119
1,00-250071319,1602260120
1,00-250071368,1602260120
1,00-250071549,1602260126
1,00-250071370,1602260128
1,00-250071371,1602260128
1,00-250059770,1602260130
1,00-250071387,1602260133
1,00-360000008,1602260135
1,00-250059784,1602260140
1,00-250059982,1602260140
1,00-250130331,1602260142
1,00-250130338,1602260146
1,00-250071696,1602260148
1,00-250059814,1602260149
1,00-250059947,1602260150
1,00-250130323,1602260153
1,00-250059854,1602260161
1,00-250071181,1602260164
1,00-250071182,1602260164
1,00-250071005,1602260166
1,00-250071290,1602260167
1,00-250071175,1602260170
1,00-250071191,1602260170
1,00-250068232,1602260171
