구분,사업장번호,신청 사업자명,사업장명,기업유형(사업장),품목,선정상태,지역,사업장주소,설치업체,업체설치여부,설치비용,건물용도,계측기설치장소,계측설비형태,계측설비용량(W),계측설비대수,계측용량(kW),계량기시리얼넘버,모뎀시리얼넘버,타입
11,201602220019-1,삼상이엔지(주),청주푸르지오 캐슬아파트,공동주택,LED,선정,충북,충청북도 청주시 서원구 예체로 68 (사직동) 푸르지오캐슬아파트 관리사무소,누리텔레콤,계량기+모뎀,30,공동주택,지하주차장,LED,18W,49,0.882,00-250070991,01224230549,"G-type(단상2선식, 단독)"
36,201602240030 ,(주)청암,(주)청암,중소,LED,선정,충남,충청남도 논산시 연산면 선비로720번길 40 (주)청암,누리텔레콤,계량기+모뎀,30,공장,제1공장,LED,80W,31,2.480 ,00-250070992,01224230569,"G-type(단상2선식, 단독)"
33,201602240021 ,그랜드백화점(주) 마트신촌점,그랜드백화점(주) 마트신촌점,중견,LED,선정,서울,서울특별시 마포구 신촌로 94 (노고산동) ,누리텔레콤,계량기+모뎀,30,일반건물,지하3층 EPS,LED,"15W, 21W, 39W","7, 3, 35",1.554 ,00-250070993,01224230571,"G-type(3상4선식, 단독)"
125,201602260058 ,더좋은생활(주),(주)한울테크,중소,LED,선정,충북,충청북도 음성군 대소면 대동로428번길 57-1 ,누리텔레콤,계량기+모뎀,30,공장,제1공장,형광등,70W,12,0.84,00-250070994,01224230436,"G-type(단상2선식, 단독)"
266,201602260298-1,주식회사 에이엘이디,한미사이언스주식회사,대기업,LED,선정,서울,"서울특별시 송파구 위례성대로 14 (방이동, 한미빌딩) ",누리텔레콤,계량기+모뎀,30,공장,지하 5층 주차장,LED,,,,00-250070996,01224230575,"G-type(단상2선식, 단독)"
148,201602260110 ,롯데쇼핑(주),아울렛 청주점,대기업,LED,선정,충북,충청북도 청주시 흥덕구 2순환로 1004 (비하동) ,누리텔레콤,계량기+모뎀,30,일반건물,3층 매장,LED,7W,172,1.204 ,00-250070999,01224273037,"G-type(단상2선식, 단독)"
104,201602260031 ,더좋은생활(주),주식회사 삼영메탈,중소,LED,선정,충남,충청남도 천안시 동남구 성남면 용원4길 87-56 ,누리텔레콤,계량기+모뎀,30,공장,열처리 라인,LED,120W,10,"1,200",00-250071403,01224230558,"G-type(단상2선식, 단독)"
113,201602260043 ,더좋은생활(주),에스이(주),중소,LED,선정,충남,충청남도 아산시 둔포면 신항리 113-7,누리텔레콤,계량기+모뎀,30,공장,제 2공장,LED,80W,9,0.56,00-250071405,01224273086,"G-type(단상2선식, 단독)"
,201602220019-2,삼상이엔지(주),청주푸르지오 캐슬아파트,공동주택,LED,선정,충북,충청북도 청주시 서원구 예체로 68 (사직동) 푸르지오캐슬아파트 관리사무소,누리텔레콤,계량기+모뎀,-,공동주택,지하주차장,LED,18W,43,0.774,00-250071407,01224224135,"G-type(단상2선식, 단독)"
43,201602240069 ,(주)대동,(주)대동,중소,LED,선정,충남,충청남도 천안시 동남구 수신면 장산동길 168-27 ,누리텔레콤,계량기+모뎀,30,공장,SML2호기,LED,60W,27,1.620 ,00-250071408,01224272962,"G-type(단상2선식, 단독)"
,201602220019-3,삼상이엔지(주),청주푸르지오 캐슬아파트,공동주택,LED,선정,충북,충청북도 청주시 서원구 예체로 68 (사직동) 푸르지오캐슬아파트 관리사무소,누리텔레콤,계량기+모뎀,-,공동주택,지하주차장,LED,18W,62,1.116,00-250071409,01224273071,"G-type(단상2선식, 단독)"
166,201602260149 ,한국타이어(주) 대전공장,한국타이어(주) 대전공장,대기업,LED,선정,대전,대전광역시 대덕구 대덕대로1447번길 40 (목상동) ,누리텔레콤,계량기+모뎀,30,공장,물류 1공장,LED,75W,44,3.300 ,00-250071414,01224273038,"G-type(단상2선식, 단독)"
270,201602260305 ,이지스엔터프라이즈,동원홈푸드,중견,LED,선정,충남,충청남도 아산시 영인면 신봉길 288 ,누리텔레콤,계량기+모뎀,30,공장,외포장실,LED,30W,93,2.79,00-250071416,01224272944,"G-type(단상2선식, 단독)"
50,201602240091 ,(주)청암홈,(주)청암홈,중소,LED,선정,충남,충청남도 아산시 신창면 온천대로 930 ,누리텔레콤,계량기+모뎀,30,공장,제1창고,LED,80W,6,0.480 ,00-250071417,01224272938,"G-type(단상2선식, 단독)"
94,201602260018 ,더좋은생활(주),(주)에코시스,중소,LED,선정,충북,충청북도 음성군 맹동면 대동로 351 ,누리텔레콤,계량기+모뎀,30,공장,제1공장,LED,70W,9,0.630 ,00-250071424,01224230532,"G-type(단상2선식, 단독)"
7,201602220010 ,에이케이켐텍(주),에이케이켐텍(주),중견,LED,선정,충남,충청남도 청양군 정산면 충의로 1547-95 ,누리텔레콤,계량기+모뎀,30,공장,창고,LED,60W,24,1.44,00-250071427,01224230576,"G-type(단상2선식, 단독)"
,201602220019-4,삼상이엔지(주),청주푸르지오 캐슬아파트,공동주택,LED,선정,충북,충청북도 청주시 서원구 예체로 68 (사직동) 푸르지오캐슬아파트 관리사무소,누리텔레콤,계량기+모뎀,-,공동주택,지하주차장,LED,18W,58,1.044,00-250071428,01224272966,"G-type(단상2선식, 단독)"
201,201602260197 ,롯데하이마트(주),롯데하이마트(주) 충주연수점,대기업,LED,선정,충북,충청북도 충주시 계명대로 214 (연수동) 롯데하이마트(주) 충주연수점,누리텔레콤,계량기+모뎀,30,일반건물,사무실,LED,36W,36,1.296 ,00-250071432,01224230565,"G-type(단상2선식, 단독)"
105,201602260032 ,더좋은생활(주),금강유리(주)-(금강글라스),중소,LED,선정,충북,충청북도 음성군 금왕읍 유촌로232번길 90 ,누리텔레콤,계량기+모뎀,30,공장,제1공장,LED,80W,13,1.040 ,00-250071434,01224230495,"G-type(단상2선식, 단독)"
142,201602260099 ,롯데역사(주)영플라자 청주점,영플라자 청주점,대기업,LED,선정,충북,"충청북도 청주시 상당구 상당로 55 (남문로2가, 롯데쇼핑(주)청주영플라자) ",누리텔레콤,계량기+모뎀,30,일반건물,4층 EPS실,형광등,7W,110,0.770 ,00-250071438,01224230439,"G-type(단상2선식, 단독)"
144,201602260102-1,롯데쇼핑(주),인천점,대기업,LED,선정,인천,"인천광역시 남동구 예술로 148 (구월동, 롯데백화점) ",누리텔레콤,계량기+모뎀,30,일반건물,3층 EPS실,LED,7W,131,0.917 ,00-250071440,01224230449,"G-type(단상2선식, 단독)"
202,201602260198 ,롯데하이마트(주),롯데하이마트(주) 탄금점,대기업,LED,선정,충북,충청북도 충주시 탄금대로 149 (봉방동) 롯데하이마트(주) 탄금점,누리텔레콤,계량기+모뎀,30,일반건물,3층 사무실,형광등,18W,20,0.720 ,00-250071442,01224230465,"G-type(단상2선식, 단독)"
,201602260102-2,롯데쇼핑(주),인천점,대기업,LED,선정,인천,"인천광역시 남동구 예술로 148 (구월동, 롯데백화점) ",누리텔레콤,-,-,일반건물,3층 EPS실,LED,7W,101,0.707 ,00-250071449,01220800592,"G-type(단상2선식, 단독)"
174,201602260164 ,주식회사뷰라이팅인터내셔널,(주)퍼시스(충주),중견,LED,선정,충북,충청북도 충주시 중앙탑면 가금농공길 46 ,누리텔레콤,계량기+모뎀,30,공장,2층 사무실,형광등,40W,20,0.800 ,00-250071451,01224230528,"G-type(단상2선식, 단독)"
,201602260102-3,롯데쇼핑(주),인천점,대기업,LED,선정,인천,"인천광역시 남동구 예술로 148 (구월동, 롯데백화점) ",누리텔레콤,-,-,일반건물,3층 EPS실,LED,7W,137,0.959 ,00-250071453,01224230457,"G-type(단상2선식, 단독)"
16,201602220025 ,LG화학,LG화학 오창1공장 (공통부문),대기업,LED,선정,충북,충청북도 청주시 흥덕구 옥산면 과학산업3로 29 LG화학 오창1공장,누리텔레콤,계량기+모뎀,30,공장,북문 복지동 식당,LED,40W,48,1.920 ,00-250071459,01224230493,"G-type(단상2선식, 단독)"
